1-2	with,a,pistol
30-24	.
30-26	d
30-27	.
30-28	.
30-29	.
30-30	.
30-31	d
30-32	.
30-33	.
30-34	.
30-35	.
30-36	.
30-37	.
30-38	.
30-39	.
30-40	.
30-41	.
30-42	.
30-43	.
30-44	.
30-45	.
30-46	.
30-47	.
30-48	.
30-49	.
30-50	.
30-55	.
30-56	.
30-60	.
30-61	.
30-62	.
30-63	.
30-65	.
30-66	.
30-67	.
30-69	.
30-70	.
30-71	.
30-72	.
30-73	.
30-74	.
31-1	-
31-7	-
31-12	-
31-18	-
32-13	nhema
32-14	included,cabinet
32-18	.,minister
32-19	.,of,environment
32-23	.,minister
32-24	.,of,environment
32-27	.,minister
32-28	.,of,environment
34-0	.
34-1	.
34-2	.
34-3	.
34-4	.,to,1990
34-5	.
34-6	.
34-7	.
34-8	.,to,1990
34-10	.
34-11	.
34-12	.,to,1990
34-14	.
34-15	.,to,1990
34-18	to,1990
34-19	for,one,year
37-11	age,in
37-14	age,.
37-18	53,of,age,.
37-21	in,age,.
37-22	.
37-23	.
39-0	goggins
39-1	is,who
39-2	is,a,draenei,shaman
39-3	is,who
46-10	near,maryland,waldorf
46-19	near,maryland,waldorf
46-20	near,waldorf,maryland
48-28	but
49-2	.
49-3	.
49-6	.
49-7	.
49-24	.
49-35	politics,to,and,.
49-36	politics,to,and,.
49-38	.
49-39	.
49-40	.
49-41	.
49-42	.
49-43	.
49-45	.
49-47	.
49-50	.,by,strengthening,structure,party
54-0	went
54-1	went,one
54-3	one
54-4	one,of,businesses,the,world
55-2	fathered,and
55-17	fathered
55-18	fathered
55-19	fathered
56-0	1990,1927
56-16	mayor,1957,and
56-17	mayor
56-20	mayor,of,silicon,valley,1957,and
56-21	mayor,of,silicon,valley
56-24	co-founder,1957,and
56-25	co-founder
56-27	fairchild,semiconductor,of,co-founder,1957,and
56-28	fairchild,semiconductor,of,co-founder
56-29	1957,and
56-30	1957
56-31	and,1957
58-4	attacks,on
58-5	attacks,on
58-6	attacks,on
58-7	attacks,on
58-15	states
58-16	states
58-19	states
58-20	states
58-21	states
58-25	states
58-26	on,includes,but
58-30	on,includes,but
58-31	states
58-40	states,on,includes,but
59-0	.
59-1	.
59-2	.
59-3	.
59-4	.
59-5	.
59-6	.
64-0	foundations,of,university
64-1	foundations,of,university,aegean,date
64-2	foundations,of,october,1918
64-3	foundations,of
64-4	university,of,aegean,date
64-5	university,october,1918
64-6	university
64-9	aegean,date,of,october,1918
64-10	aegean,date,of
64-13	october,1918
64-16	october,1918
65-2	and
65-3	and,pga,tour
65-5	and
65-6	and,pga,tour
65-7	and
65-8	and,pga,tour
66-4	union,football,team,.
66-5	los,pumas,.
66-6	los,pumas,.
69-9	february,and
72-3	has,and
72-4	has,and
72-5	has,and
72-6	has,and
72-7	has
72-8	has,.
72-9	and,has
72-10	and,has
72-11	and,has,.
72-12	and,has,.
72-13	and,has,.
72-14	and,has
72-15	and,has,.
72-16	and,has,.
72-17	and,has,.
72-18	.
72-19	.
72-20	.
73-15	for,her,plans
73-17	for,her,plans
74-20	and
74-21	and
74-23	and
74-24	and
74-26	and
75-1	.
75-2	.
75-3	.
75-5	.
75-6	.
75-7	.
75-8	.
75-9	.
75-12	.
75-13	.
75-14	.
75-15	.
78-0	help,from
78-2	help,from
79-14	march,2011,on,waived,being,of
79-20	of
82-19	as
83-0	relied,and
83-1	relied,and
83-3	collective,work,relied,and
83-4	collective,work,relied,and
83-8	a,chance
83-9	chance,to,compensate,some,extent
83-12	a,chance
83-13	chance,to,compensate,some,extent
84-12	in
84-13	in
85-2	followed,and
85-3	the
86-0	.
86-1	.
86-3	.
86-4	.
86-6	.
86-7	.
87-3	.
87-7	.
87-8	.
87-9	.,and
87-10	.
87-12	.
87-13	.
87-14	.,and
87-15	.
87-16	.
87-17	.
87-18	.,and
87-19	.
87-20	.
87-22	and
87-25	and
87-28	and
87-29	and
88-5	time,actors,.
88-6	time,actors,.
89-17	.
91-4	.
91-6	.
92-0	.
93-9	.
93-13	.
93-15	.
93-17	.
93-18	.
93-19	.
93-20	.
93-21	.
93-22	.
94-18	.
94-22	.
94-23	.
94-27	.
94-29	.
94-30	.
94-31	.
94-32	.
94-33	.
95-15	to,win,3-2
96-10	.
96-12	.
96-14	.
96-15	.
100-8	purchasing,encourage,products
100-9	purchasing,encourage,while,.,allow
100-10	products,encourage,while,.,allow
100-11	products,encourage,while,.,allow
100-12	allow
100-13	and
100-14	and,for,hemodialysis,technicians
100-15	and
100-16	and,for,hemodialysis,technicians
100-17	for,hemodialysis,technicians
102-1	&
102-5	&
102-9	&
102-10	&
102-26	actor,but
102-27	actor,.
102-28	.
105-2	of,arturo
105-3	of,arturo
107-1	liga,city,after
107-8	after,city,dorados
107-9	after,city
107-10	after,city
107-11	dorados
109-3	he,was
109-7	captain,was
109-8	captain,was
109-11	the,atheists,team,was
109-12	the,atheists,team,was
109-13	the,atheists,team,was,2010.
109-14	the,atheists,team,was
109-16	cbc,test,team,was
109-17	cbc,test,team,was
109-18	cbc,test,team,was,2010.
109-19	cbc,test,team,was
109-20	the,nation
109-21	the,nation
109-22	the,nation,2010.
109-23	the,nation
109-25	2010.
109-27	2010.,was
109-28	2010.,was
110-11	and
111-2	he,buried,in
111-5	in,buried
113-2	several,scenes
113-3	several,scenes
116-2	role
116-3	role,'s
116-12	role
116-13	's,role
117-4	alongside,with,teammate,francesco,bolzoni
117-9	teammate,francesco,bolzoni,with
117-10	teammate,francesco,bolzoni,with
117-11	teammate,francesco,bolzoni,with
119-3	.
119-5	the,sequel
119-9	.
119-12	.
123-1	exploited,wellington
123-2	exploited,victory,his
123-4	exploited,by,capturing,madrid
123-5	exploited,wellington
123-6	exploited,victory,his
123-8	exploited,by,capturing,madrid
125-17	.
125-21	.
125-22	.
125-26	.
125-27	.
125-28	.
125-31	.
125-32	.
125-35	.
125-36	.
125-37	.
125-38	.
125-39	.
125-40	.
125-41	.
125-42	.
125-43	.
126-0	.
127-6	horse,racing,world,among,from,are
128-9	to
128-10	to
128-15	to
128-16	to
128-19	to
128-20	to
128-23	to
128-26	with,to
131-2	athlone
131-3	athlone
131-4	ten,athlone
131-11	athlone
131-12	athlone
131-13	ten,athlone
131-14	athlone
131-15	athlone
131-16	ten,athlone
131-17	athlone
131-18	ten,athlone
131-19	ten,athlone
135-0	wo,second-in-command,.,between,october,1939
135-3	wo,second-in-command,.,between,1939,and,january,1940.
135-4	wo,second-in-command,.,between,1939,and
135-8	october,1939,and,january,1940.
135-9	october,1939,and
135-13	january
135-16	1940,january,and,1939,.,between,1940.
135-17	1940,january
135-20	january,1940.
135-23	january,1940.
141-2	and
141-3	and
141-4	and
145-0	.
145-1	.
145-2	.
145-5	.
147-2	once,leaving,essendon,moved,and
147-3	once,leaving,essendon,moved,and
147-4	moved,and
147-5	moved,and
147-7	tasmania,moved,and
147-8	tasmania,moved,and
147-11	to,1961
147-12	to,1961
148-6	ran,and,continued
152-10	in
152-14	in
152-30	in
152-31	in
152-32	in
152-33	in,took,who
154-2	and,of,intentions,thomas,barrett
154-8	thomas,barrett,intentions,of,and,'s
155-1	royal,family,nor
155-2	royal,family,nor
155-3	royal,family,nor
155-4	nor
155-5	nor
155-6	nor
156-0	he,attempted,but
156-1	he,attempted,but,at,sea
156-2	he,attempted,but
156-4	sea
156-7	and,were,compared,to,the,98-gun
156-8	and,were,compared,london
157-3	who
157-5	who
158-1	as,replacement,candidate
158-8	as,replacement,candidate
158-9	as,candidate,from,1964
158-10	to,1969
164-12	.
164-13	.
164-15	.
164-16	.
164-17	.
164-18	.
164-19	.
167-6	and
167-9	and
167-10	and
167-12	and
167-13	and
167-14	and
167-15	and
167-16	and
167-17	and
169-17	.
169-18	.
169-20	.
169-21	.
170-2	began,and
170-5	began,and
170-8	began,and
170-10	quilmes,began,and
170-12	began
172-9	.
172-13	.
172-14	.
172-18	.
172-20	.
172-21	.
173-11	and
173-12	and
174-0	while
174-1	while
174-2	while
174-3	while
174-4	while
174-5	while
174-6	while
174-7	while
174-9	while
174-11	while,remainder
174-13	while,remainder
174-14	while,remainder
175-2	centres
175-3	centres
175-4	centres
176-1	.
176-4	.
176-7	.
176-8	.
176-9	.
176-10	.
177-5	as,vice,president
177-13	vice,president
178-0	.,to,and
178-1	.,to,and
179-8	.
179-9	.,-
179-11	.
179-12	.,-
179-13	.
179-14	.,-
179-15	.,-
185-6	.
185-8	.
185-9	.
185-12	.
185-13	.
185-15	.
185-17	.
185-18	.
186-6	as
186-9	as
186-12	as
187-1	of
187-2	of
187-3	of
188-0	.
188-1	.
188-2	.
188-5	.
188-7	.
188-8	.
188-13	.
189-5	:
189-7	:
189-8	:
189-9	.
189-10	.,had,who
190-9	netherlands,is,but
190-11	the,netherlands,is,but
191-9	a,risk,would,argued,.
191-10	a,risk,would,argued,.
192-1	united,states,for,was,as
194-19	and
194-22	and
194-26	and
195-8	.
195-10	.
