0	"Henry"	"was"	"Governor Edwin Washington Edwards's choice"
11	"The film"	"debuted on 29"	"December"
11	"The film"	"debuted on 29"	"October"
12	"The Arab nationalists"	"aimed in"	"part"
12	"The Arab nationalists"	"aimed to remove influence in"	"Iraq"
12	"The Arab nationalists"	"aimed to remove"	"British imperial influence"
12	"British imperial influence"	"in"	"Iraq"
13	"the Ape Man "	"of Return year after"	"this film"
13	"only , called  Return"	"of"	"the Ape Man "
13	"Bela Lugosi"	"Carradine and"	"George Zucco"
13	"A sequel"	". after later year"	"only , called  Return"
13	"A sequel"	". after later year Return of"	"the Ape Man "
13	"John Carradine"	"and"	"George Zucco"
13	"only , called  Return of the Ape Man  , followed in 1944 , one year"	"after and starred Lugosi Carradine and"	"George Zucco"
13	"only , called  Return"	"year after"	"this film"
13	"A sequel"	". after and starred"	"Bela Lugosi"
13	"only , called  Return of the Ape Man  , followed in 1944 , one year"	"after and starred Lugosi"	"John Carradine"
13	"only , called  Return of the Ape Man  , followed in 1944 , one year"	"after and starred"	"Bela Lugosi"
13	"Bela Lugosi"	"Lugosi"	"John Carradine"
13	"only , called  Return of the Ape Man  , followed in 1944 , one year"	"after"	"this film"
13	"A sequel"	". after and starred Lugosi"	"John Carradine"
13	"A sequel"	". after and starred Lugosi Carradine and"	"George Zucco"
14	"spirit possession"	"possession"	"magic"
14	"magic"	"and"	"healing"
14	"Dr. Gayatri ( Bipasha Basu )"	"is ."	"spirit possession , magic and healing powers"
14	"Dr. Gayatri ( Bipasha Basu )"	"is . powers"	"spirit possession"
14	"Dr. Gayatri ( Bipasha Basu )"	"is . powers possession"	"magic"
14	"Dr. Gayatri ( Bipasha Basu )"	"is researching"	"the esoteric practices"
14	"Dr. Gayatri ( Bipasha Basu )"	"is . powers possession magic and"	"healing"
14	"spirit possession"	"magic and"	"healing"
16	"This version"	"was cut in"	"length"
16	"This version"	"was cut to"	"100-minutes"
17	"He"	"was and died at Michigan"	"Livonia"
17	"He"	"was and died at"	"Livonia , Michigan"
18	"Fred Kohler"	". was actor known for"	"his  heavy  style"
18	"April"	". was actor known for style"	"his"
18	"his  heavy  style"	"of"	"character"
18	"an American actor"	"known for style"	"his"
18	"his"	"style of"	"character"
18	"April"	". was actor known for"	"his  heavy  style"
18	"Fred Kohler"	". was actor known for style of"	"character"
18	"an American actor"	"known for style of"	"character"
18	"Fred Kohler"	". was actor known for style"	"his"
18	"an American actor"	"known for"	"his  heavy  style"
18	"April"	". was actor known for style of"	"character"
19	"Outpost Harry"	"was station located on"	"a tiny hilltop"
19	"a remote Korean War station"	"located on"	"a tiny hilltop"
19	"Outpost Harry"	"was . on"	"the Korean Peninsula"
19	"a remote Korean War station"	"located in was"	"what"
19	"Outpost Harry"	"was station located in was"	"what"
19	"Outpost Harry"	"was ."	"Iron Triangle"
20	"the acific theatre"	"was divided under"	"General Douglas MacArthur"
20	"agreement"	"among"	"the Allied nations"
21	"Iidale"	"and"	"Dinsoor"
21	"approximately 60 and 120 kilometres"	"south of"	"Baidoa"
22	"Another version"	"of"	"the story"
22	"Another version"	"was filmed entitled Chan"	"Courage"
22	"Another version"	"was filmed entitled"	"The Courage of Charlie Chan"
23	"He"	"consults doctor for"	"solution"
23	"his family doctor"	"for"	"solution"
24	"Research"	"on is organization headquartered in D.C. States with office in"	"New Delhi , India"
24	"The International Center"	"on is organization headquartered in"	"Washington , D.C."
24	"a regional office"	"in India"	"New Delhi"
24	"a non-profit organization"	"headquartered in D.C."	"United States"
24	"ICRW"	"is organization headquartered in D.C. States with office in India"	"New Delhi"
24	"Women"	"is organization headquartered in"	"Washington , D.C."
24	"Washington"	"D.C. States with"	"a regional office"
24	"Research"	"on is"	"a non-profit organization"
24	"Women"	"is"	"a non-profit organization"
24	"a non-profit organization"	"headquartered in D.C. States with office in"	"New Delhi , India"
24	"The International Center"	"on is Women"	"ICRW"
24	"Research"	"on is Women"	"ICRW"
24	"The International Center"	"on is organization headquartered in D.C. States with office in"	"New Delhi , India"
24	"United States"	"with office in India"	"New Delhi"
24	"The International Center"	"on is organization headquartered in D.C. States with office in India"	"New Delhi"
24	"The International Center"	"on is organization headquartered in D.C. States with"	"a regional office"
24	"Research"	"on is organization headquartered in D.C."	"Washington"
24	"The International Center"	"on is"	"a non-profit organization"
24	"ICRW"	"is organization headquartered in D.C."	"United States"
24	"Research"	"on is organization headquartered in D.C."	"United States"
24	"ICRW"	"is organization headquartered in"	"Washington , D.C."
24	"Women"	"is organization headquartered in D.C."	"Washington"
24	"Women"	"is organization headquartered in D.C. States with office in"	"New Delhi , India"
24	"Washington , D.C."	"States with office in"	"New Delhi , India"
24	"Women"	"is organization headquartered in D.C. States with"	"a regional office"
24	"Research"	"on is organization headquartered in D.C. States with"	"a regional office"
24	"ICRW"	"is organization headquartered in D.C. States with"	"a regional office"
24	"ICRW"	"is"	"a non-profit organization"
24	"a non-profit organization"	"headquartered in D.C. States with"	"a regional office"
24	"Women"	"Women"	"ICRW"
24	"Washington"	"D.C. States with office in"	"New Delhi , India"
24	"Washington"	"D.C."	"United States"
24	"Washington , D.C."	"D.C."	"United States"
24	"The International Center"	"on is"	"Women"
24	"a non-profit organization"	"headquartered in"	"Washington , D.C."
24	"a regional office"	"in"	"New Delhi , India"
24	"a non-profit organization"	"headquartered in D.C."	"Washington"
24	"United States"	"with"	"a regional office"
24	"ICRW"	"is organization headquartered in D.C. States with office in"	"New Delhi , India"
24	"ICRW"	"is organization headquartered in D.C."	"Washington"
24	"a non-profit organization"	"headquartered in D.C. States with office in India"	"New Delhi"
24	"The International Center"	"on is organization headquartered in D.C."	"Washington"
24	"The International Center"	"on is organization headquartered in D.C."	"United States"
24	"Research"	"on is"	"Women"
24	"United States"	"with office in"	"New Delhi , India"
24	"Women"	"is organization headquartered in D.C."	"United States"
24	"Women"	"is organization headquartered in D.C. States with office in India"	"New Delhi"
24	"Research"	"on is organization headquartered in D.C. States with office in India"	"New Delhi"
24	"Washington"	"D.C. States with office in India"	"New Delhi"
24	"Research"	"on is organization headquartered in"	"Washington , D.C."
24	"Washington , D.C."	"States with office in India"	"New Delhi"
24	"The International Center"	"for"	"Research"
24	"Washington , D.C."	"States with"	"a regional office"
25	"UFC 81 "	"submitted"	"he"
25	"UFC 81 "	"submitted"	"Rob Yundt"
25	"the UFC"	"occurred at  81"	"UFC"
25	"UFC"	" submitted"	"he"
25	"UFC"	" submitted"	"Rob Yundt"
25	"His return"	"occurred at  submitted"	"he"
25	"His return"	"occurred at"	"UFC 81 "
25	"the UFC"	"occurred at  submitted"	"Rob Yundt"
25	"His return"	"occurred in"	"the UFC"
25	"His return"	"occurred at  81"	"UFC"
25	"the UFC"	"occurred at"	"UFC 81 "
25	"His return"	"occurred at  submitted"	"Rob Yundt"
25	"the UFC"	"occurred at  submitted"	"he"
26	"Frank Lanning"	"escaped ing"	"Jim Lester's father"
26	"Francisco Cortez"	"escaped"	"convict"
26	"Francisco Cortez"	"escaped convict accused of"	"murder"
26	"Frank Lanning"	"escaped convict accused of"	"murder"
26	"Francisco Cortez"	"escaped ing"	"Jim Lester's father"
26	"convict"	"accused of"	"murder"
27	"Wu"	"worked joined"	"WGBH-TV"
27	"Wu"	"worked station"	"Boston's"
27	"Wu"	"worked as"	"the Massachusetts State House reporter"
27	"Wu"	"worked"	"as a reporter"
27	"Wu"	"worked joined"	"she"
27	"Wu"	"worked"	"Boston's public television station"
27	"as a reporter"	"for"	"United Press International"
27	"Wu"	"worked reporter for"	"United Press International"
28	"The New Zealand Naval Forces"	"was . of"	"the Royal Navy"
28	"The New Zealand Naval Forces"	"was ."	"Division"
29	"the Western League"	"League"	"their highest ever league finishing position"
29	"The previous season"	"had lead to 2nd place in League"	"their highest ever league finishing position"
29	"place"	"in League position"	"their"
29	"The previous season"	"had lead to 2nd place in League position"	"league"
29	"The previous season"	"had lead"	"Dawlish"
29	"place"	"in League"	"their highest ever league finishing position"
29	"The previous season"	"had lead to 2nd place in League position"	"their"
29	"the Western League"	"position"	"their"
29	"place"	"in"	"the Western League"
29	"The previous season"	"had lead to 2nd place in"	"the Western League"
29	"The previous season"	"had lead to 2nd"	"place"
29	"the Western League"	"position"	"league"
29	"place"	"in League position"	"league"
30	"he"	"has reported in"	"the past two decades"
30	"Afghanistan"	"in"	"Iraq"
30	"the War"	"and campaigns in"	"War"
30	"he"	"has ."	"the War"
30	"his years"	"has"	"the Gulf War"
30	"the most compelling foreign news stories"	"of many has"	"the Gulf War"
30	"his years"	"has reported in"	"the past two decades"
30	"the War"	"and"	"the recent US military campaigns"
30	"he"	"has . War and campaigns"	"US"
30	"he"	"has . War and"	"the recent US military campaigns"
30	"he"	"has . War in"	"Kosovo"
30	"he"	"has . Afghanistan in"	"Iraq"
30	"his years"	"has . War in"	"Kosovo"
30	"his years"	"has . War and"	"the recent US military campaigns"
30	"his years"	"has ."	"Afghanistan"
30	"his years"	"has . coup"	"1993 events"
30	"Middle East peace process"	". War and campaigns in"	"War"
30	"he"	"has . War and campaigns in"	"War"
30	"Afghanistan"	"and"	"War"
30	"he"	"has . coup"	"1993 events"
30	"the attempted coup"	"in"	"Moscow"
30	"he"	"has . coup events in"	"Moscow"
30	"1993 events"	"in"	"Moscow"
30	"his years"	"on"	"Newsnight"
30	"he"	"has ."	"Middle East peace process"
30	"he"	"has . coup in"	"Moscow"
30	"Newsnight"	"on years has ."	"the attempted coup"
30	"his years"	"has . process"	"Middle"
30	"his years"	"has . Afghanistan and"	"War"
30	"he"	"has reported many of"	"the most compelling foreign news stories"
30	"his years"	"has . War and campaigns in"	"War"
30	"Newsnight"	"on years has ."	"the War"
30	"his years"	"has . Afghanistan in"	"Iraq"
30	"he"	"has"	"the Gulf War"
30	"his years"	"has ."	"the War"
30	"he"	"has ."	"Afghanistan"
30	"his years"	"has reported many of"	"the most compelling foreign news stories"
30	"his years"	"has . War and campaigns"	"US"
30	"US"	"campaigns in"	"War"
30	"Middle East peace process"	". War and campaigns"	"US"
30	"he"	"has . Afghanistan and"	"War"
30	"the attempted coup"	"events in"	"Moscow"
30	"his years"	"has . coup events in"	"Moscow"
30	"he"	"has . coup"	"Bosnian War"
30	"the recent US military campaigns"	"in"	"War"
30	"Newsnight"	"on years has"	"the Gulf War"
30	"his years"	"has . coup in"	"Moscow"
30	"his years"	"has ."	"the attempted coup"
30	"the attempted coup"	". War and campaigns in"	"War"
30	"his years"	"has ."	"Middle East peace process"
30	"the attempted coup"	"coup"	"1993 events"
30	"he"	"has ."	"the attempted coup"
30	"the War"	"in"	"Kosovo"
30	"the War"	"and campaigns"	"US"
30	"Newsnight"	"on years has ."	"Middle East peace process"
30	"his years"	"has . coup"	"Bosnian War"
30	"Newsnight"	"on years has ."	"Afghanistan"
30	"the attempted coup"	". War and campaigns"	"US"
30	"he"	"has . process"	"Middle"
30	"the attempted coup"	"coup"	"Bosnian War"
31	"1991 )"	"was producer film and"	"television"
31	"April"	"was producer film and"	"television"
31	"1991 )"	"was producer and"	"actor"
31	"1991 )"	"was"	"an American film and television producer"
31	"February"	". was producer film and"	"television"
31	"television"	"and producer and"	"actor"
31	"an American film and television producer"	"and"	"actor"
31	"film"	"producer and"	"actor"
31	"film"	"and"	"television"
31	"William Dozier"	". was producer film and"	"television"
31	"William Dozier"	". was producer and"	"actor"
31	"April"	"was producer and"	"actor"
31	"1991 )"	"was producer"	"film"
31	"February"	". was producer and"	"actor"
31	"April"	"was"	"an American film and television producer"
31	"April"	"was producer"	"film"
32	"Democratic Change national unity government"	"for was ."	"Minister"
32	"the ZANU-PF-Movement"	"was ."	"Minister"
32	"the ZANU-PF-Movement"	"was was"	"Nhema"
32	"Democratic Change national unity government"	"for was was"	"Nhema"
32	"Change"	"government for was was"	"Nhema"
32	"the ZANU-PF-Movement"	"for government"	"Change"
32	"the ZANU-PF-Movement"	"was sworn in on 2009"	"February"
32	"the ZANU-PF-Movement"	"was . of"	"the Environment"
32	"the ZANU-PF-Movement"	"for"	"Democratic Change national unity government"
32	"the ZANU-PF-Movement"	"was was included in"	"the Cabinet"
32	"Change"	"government for was ."	"Minister"
33	"a member"	"of"	"the National Union of Women Workers"
33	"She"	"was member of"	"the National Union of Women Workers"
33	"She"	"was member of Workers"	"Union"
33	"a member"	"of Workers"	"Union"
34	"Premier"	". from serving under"	"former President Lee Teng-hui"
34	"He"	"was ."	"Premier"
34	"He"	"was . from serving for"	"one year"
34	"Premier"	". from serving for"	"one year"
34	"He"	"was . of China"	"Republic"
34	"He"	"was . from serving under"	"former President Lee Teng-hui"
34	"He"	"was . of"	"the Republic of China"
35	"He"	"made"	"1-0 )"
35	"He"	"made in"	"a Champions League game Fenerbahce-Inter"
36	"a terrorist organization"	"splintered from Movement"	"IMU"
36	"The Islamic Jihad Union"	"is and has and attempted"	"attacks"
36	"The Islamic Jihad Union (: IJU"	"is and has and attempted in"	"Germany"
36	"The Islamic Jihad Union"	"is organization splintered from Movement of"	"Uzbekistan"
36	"The Islamic Jihad Union (: IJU"	"is"	"a terrorist organization"
36	"The Islamic Jihad Union (: IJU"	"is organization splintered from Movement of"	"Uzbekistan"
36	"The Islamic Jihad Union (: IJU"	"is organization splintered from"	"the Islamic Movement"
36	"The Islamic Jihad Union"	"is organization splintered from"	"the Islamic Movement"
36	"Islamic Jihad Group"	"IJG as is"	"a terrorist organization"
36	"the Islamic Movement"	"Movement"	"IMU"
36	"The Islamic Jihad Union"	"is organization splintered from Movement"	"IMU"
36	"The Islamic Jihad Union (: IJU"	"is known as IJG"	"Islamic Jihad Group"
36	"the Islamic Movement"	"of"	"Uzbekistan"
36	"The Islamic Jihad Union"	"is and has conducted in"	"Uzbekistan"
36	"Islamic Jihad Group ( IJG"	"as is"	"a terrorist organization"
36	"a terrorist organization"	"splintered from"	"the Islamic Movement"
36	"The Islamic Jihad Union (: IJU"	"is and has and attempted"	"attacks"
36	"The Islamic Jihad Union"	"is and has and attempted in"	"Germany"
36	"The Islamic Jihad Union"	"is"	"a terrorist organization"
36	"The Islamic Jihad Union (: IJU"	"is and has conducted in"	"Uzbekistan"
36	"The Islamic Jihad Union"	"is and has conducted"	"attacks"
36	"The Islamic Jihad Union (: IJU"	"is and has conducted"	"attacks"
36	"The Islamic Jihad Union (: IJU"	"is organization splintered from Movement"	"IMU"
36	"a terrorist organization"	"splintered from Movement of"	"Uzbekistan"
37	"three brain surgeries"	"died at"	"the age"
37	"she"	"died . had lived during"	"her illness"
37	"the age"	"in"	"Leusden"
37	"she"	"died . had"	"she"
37	"she"	"died ."	"The Netherlands"
37	"The Netherlands"	". had lived during"	"her illness"
37	"three brain surgeries"	"died . had"	"she"
37	"she"	"died at"	"the age"
37	"she"	"died at age in"	"Leusden"
37	"three brain surgeries"	"died ."	"The Netherlands"
37	"three brain surgeries"	"died at age in"	"Leusden"
37	"three brain surgeries"	"died . had lived during"	"her illness"
38	"Cadabra"	"has ."	"FC Etzella Ettelbruck"
38	"Cadabra"	"has played for Grund"	"FC Cessange Bracarenses"
38	"FC Etzella Ettelbruck"	"in"	"Luxembourg"
38	"Cadabra"	"has . Ettelbruck in"	"Luxembourg"
39	"the healer"	"is"	"who"
39	"the healer"	"healer"	"Goggins"
39	"who"	"is"	"a Draenei shaman"
39	"He"	"played healer is"	"a Draenei shaman"
39	"the healer"	"is"	"a Draenei shaman"
39	"He"	"played healer is"	"who"
39	"He"	"played healer"	"Goggins"
40	"the Nelson Giants"	"in"	"the New Zealand National Basketball League"
40	"the 2006-07 season"	"played with Giants in"	"the New Zealand National Basketball League"
40	"the 2006-07 season"	"played with"	"the Nelson Giants"
40	"Pace"	"played with Giants in"	"the New Zealand National Basketball League"
42	"the post office"	"was . Office in"	"his honor"
42	"Taft"	"in was ."	" Larry S. Pierce Post Office"
42	"the post office"	"was ."	" Larry S. Pierce Post Office"
42	"February"	"2008 was ."	" Larry S. Pierce Post Office"
42	"the post office"	"in"	"Taft"
42	" Larry S. Pierce Post Office"	"in"	"his honor"
43	"LaBrocca"	"scored in victory vs."	"Chicago Fire"
43	"his first goal"	"for"	"the club"
43	"LaBrocca"	"scored in"	"a 4-1 home victory"
43	"LaBrocca"	"scored goal for"	"the club"
43	"his"	"goal for"	"the club"
43	"LaBrocca"	"scored goal"	"his"
43	"a 4-1 home victory"	"vs."	"Chicago Fire"
44	"He"	"is to"	"Washington Post journalist"
44	"Washington Post journalist"	"journalist"	"Ruth Marcus"
44	"He"	"is to journalist"	"Ruth Marcus"
45	"Kuroki"	"is known to have participated in missions in theater of"	"operations"
45	"Kuroki"	"is known to have participated in"	"air combat missions"
45	"the only Japanese American known"	"to have participated in"	"air combat missions"
45	"air combat missions"	"in theater of"	"operations"
45	"Kuroki"	"is known to have participated during"	"the war"
45	"the only Japanese American known"	"to have participated in missions in"	"the Pacific theater"
45	"the only Japanese American known"	"to have participated in missions in theater of"	"operations"
45	"Kuroki"	"is known to have participated in missions in"	"the Pacific theater"
45	"the Pacific theater"	"of"	"operations"
45	"air combat missions"	"in"	"the Pacific theater"
45	"the only Japanese American known"	"to have participated during"	"the war"
46	"Army"	"became owner and"	"operator"
46	"Army"	"became near Maryland"	"Waldorf"
46	"Middleton"	"became near Maryland"	"Waldorf"
46	"Army"	"became"	"the owner"
46	"Middleton"	"became owner of"	"Cedar Hill Farm"
46	"Middleton"	"became near"	"Waldorf , Maryland"
46	"Middleton"	"became owner and"	"operator"
46	"the owner"	"and"	"operator"
46	"the owner"	"of"	"Cedar Hill Farm"
46	"Army"	"became"	"Middleton"
46	"Army"	"became near"	"Waldorf , Maryland"
46	"Army"	"became owner of"	"Cedar Hill Farm"
46	"his service"	"in"	"the United States"
47	"a 1916 silent comedy film"	"featuring"	"Oliver Hardy"
47	"The Candy Trail"	"is film featuring"	"Oliver Hardy"
48	"the actor"	"Abellan and"	"actress"
48	"actress"	"and"	"writer"
48	"Gabriel"	"was born in Cadiz"	"San Fernando"
48	"Daughter"	"was born in Cadiz"	"San Fernando"
48	"Daughter"	"was but spent"	"her childhood"
48	"the actor"	"actor"	"Ismael Sanchez Abellan"
48	"Gabriel"	"was but spent childhood in"	"Madrid"
48	"Daughter"	"of actor Abellan and actress and"	"writer"
48	"Ismael Sanchez Abellan"	"and actress and"	"writer"
48	"writer"	"writer"	"Ana Maria Bueno"
48	"Ismael Sanchez Abellan"	"and actress and writer"	"Ana Maria Bueno"
48	"actress"	"and writer"	"Ana Maria Bueno"
48	"Ismael Sanchez Abellan"	"and"	"actress"
48	"Gabriel"	"was born in"	"San Fernando , Cadiz"
48	"Daughter"	"of actor"	"Ismael Sanchez Abellan"
48	"Daughter"	"of"	"the actor"
48	"Daughter"	"of actor Abellan and actress and writer"	"Ana Maria Bueno"
48	"Daughter"	"was but spent childhood in"	"Madrid"
48	"Daughter"	"of actor Abellan and"	"actress"
48	"the actor"	"Abellan and actress and"	"writer"
48	"Daughter"	"was born in"	"San Fernando , Cadiz"
48	"Gabriel"	"was but spent"	"her childhood"
48	"her childhood"	"in"	"Madrid"
48	"the actor"	"Abellan and actress and writer"	"Ana Maria Bueno"
49	"the Order"	"of"	"Australia"
49	"Officer"	". to and to"	"politics"
49	"He"	"was . of Order of"	"Australia"
49	"fundraising protocols"	"for"	"all political parties"
49	"He"	"was . guidelines"	"fundraising protocols"
49	"He"	"was ."	"Officer"
49	"Officer"	". guidelines protocols for"	"all political parties"
49	"the Order"	"in"	"the Australia Day honours"
49	"fundraising protocols for all political parties , affirmative action guidelines"	"and structure by strengthening"	"the party's"
49	"He"	"was . of"	"the Order"
49	"all political parties"	"for guidelines and"	"by strengthening the party's organisational and financial structure"
49	"service"	"to"	"the Australian Labor Party"
49	"He"	"was . to and to"	"politics"
49	"Officer"	". of Order of"	"Australia"
49	"He"	"was . guidelines and"	"by strengthening the party's organisational and financial structure"
49	"He"	"was . through"	"the introduction"
49	"the introduction"	"of"	"modern campaign techniques"
49	"He"	"was . to"	"the Australian Labor Party"
49	"He"	"was . to for"	"service"
49	"fundraising protocols"	"guidelines and structure by strengthening"	"the party's"
49	"He"	"was . guidelines protocols for"	"all political parties"
49	"Officer"	". guidelines and structure by strengthening"	"the party's"
49	"fundraising protocols for all political parties , affirmative action guidelines"	"and"	"by strengthening the party's organisational and financial structure"
49	"He"	"was . guidelines and structure by strengthening"	"the party's"
49	"Officer"	". through introduction of"	"modern campaign techniques"
49	"He"	"was . through introduction of"	"modern campaign techniques"
49	"service"	"to and to"	"politics"
49	"Officer"	". of Order in"	"the Australia Day honours"
49	"fundraising protocols"	"guidelines and"	"by strengthening the party's organisational and financial structure"
49	"He"	"was ."	"fundraising protocols for all political parties , affirmative action guidelines"
49	"He"	"was . of Order in"	"the Australia Day honours"
50	"lack"	"and progress with caused"	"the CNDP forces"
50	"lack"	"of"	"resettlement"
50	"war"	"on FDLR and"	"hostilities"
50	"progress"	"and"	"lack"
50	"progress"	"and lack of"	"resettlement"
50	"Dissatisfaction"	"with progress and lack of"	"resettlement"
50	"resettlement"	"of lack and progress with caused"	"the CNDP forces"
50	"war"	"on"	"the FDLR"
50	"Dissatisfaction"	"caused to declare to resume including"	"civilian atrocities"
50	"progress"	"and lack of resettlement of"	"refugees"
50	"Dissatisfaction"	"with progress and"	"lack"
50	"Dissatisfaction"	"caused to declare war on"	"the FDLR"
50	"Dissatisfaction"	"with progress and lack of resettlement of"	"refugees"
50	"Dissatisfaction"	"caused to declare"	"war"
50	"Dissatisfaction"	"caused to declare war on FDLR and"	"hostilities"
50	"Dissatisfaction"	"with"	"progress"
50	"lack"	"of resettlement of"	"refugees"
50	"refugees"	"of resettlement of lack and progress with caused"	"the CNDP forces"
50	"resettlement"	"of"	"refugees"
50	"the FDLR"	"and"	"hostilities"
50	"progress"	"with caused"	"the CNDP forces"
51	"the Arab world"	"is prize in"	"itself"
51	"Europe"	"has and remains"	"the primary objective"
51	"a rich prize"	"in"	"itself"
52	"law"	"could land as place and"	"approximate time"
52	"the British"	"knew that could"	"the fleet"
52	"the British"	"knew that could land as place and time of"	"departure"
52	"the British"	"knew that could land as place and time of departure from"	"South America"
52	"law"	"could land as"	"its place"
52	"law"	"could land at"	"Cadiz"
52	"approximate time"	"of"	"departure"
52	"the British"	"knew that could by"	"law"
52	"the fleet"	"could land as"	"its place"
52	"the fleet"	"could land at"	"Cadiz"
52	"the British"	"knew that could land as"	"its place"
52	"law"	"could land as place and time of departure from"	"South America"
52	"the fleet"	"could land as place and time of"	"departure"
52	"the fleet"	"could land as place and time of departure from"	"South America"
52	"the fleet"	"could land as place and"	"approximate time"
52	"it"	"was difficult to position to intercept"	"it"
52	"law"	"could land as place and time of"	"departure"
52	"departure"	"from"	"South America"
52	"approximate time"	"of departure from"	"South America"
52	"its place"	"and time of"	"departure"
52	"the British"	"knew that could land as place and"	"approximate time"
52	"its place"	"and time of departure from"	"South America"
52	"it"	"was difficult to position"	"a squadron"
52	"its place"	"and"	"approximate time"
52	"the British"	"knew that could land at"	"Cadiz"
53	"Tomkins"	"made in draw to"	"Everton"
53	"Tomkins"	"made debut"	"his"
53	"Tomkins"	"made on 2008"	"March"
54	"He"	"went to work"	"high-tech businesses"
54	"He"	"went to work one of"	"the world's"
54	"He"	"went to work for"	"Cisco Systems"
55	"Edna"	"and"	"Donald"
55	"his death"	"from"	"tuberculosis"
55	"two children"	"children"	"Edna"
55	"He"	"fathered children"	"Edna"
55	"He"	"fathered until"	"his death"
55	"He"	"fathered and lived in"	"Aberdeen"
55	"two children"	"Edna and"	"Donald"
55	"He"	"fathered until death from"	"tuberculosis"
55	"He"	"fathered children Edna and"	"Donald"
56	"Mayor of Silicon Valley"	"Valley"	"co-founder"
56	"Mayor"	"Valley co-founder of"	"Fairchild Semiconductor"
56	"A Great-Great Grandson"	"was in in 1957 and"	"Intel"
56	"A Great-Great Grandson"	"was Valley"	"co-founder"
56	"A Great-Great Grandson"	"was"	"Mayor of Silicon Valley"
56	"A Great-Great Grandson"	"was Valley"	"Mayor"
56	"Mayor"	"Valley"	"co-founder"
56	"co-founder"	"of"	"Fairchild Semiconductor"
56	"Robert Norton Noyce"	"Noyce"	"1927 - 1990 )"
56	"A Great-Great Grandson"	"was Valley co-founder of"	"Fairchild Semiconductor"
56	"A Great-Great Grandson"	"was Noyce"	"1927 - 1990 )"
56	"Mayor of Silicon Valley"	"co-founder of"	"Fairchild Semiconductor"
